aabdeilns baladines baladines*
aabdeilnt indatable indatable
aabdeilrv adverbial adverbial
aabdeilss absidales absidales
aabdeimrs badamiers badamiers
aabdeinst tabanides tabanidés#(03)
aabdeirst batardise bâtardise
aabdejlls djellabas djellabas
aabdekorw wakeboard wakeboard(12)
aabdellnt deballant déballant
aabdelmns damnables damnables
aabdelnrt delabrant délabrant
aabdelnss dansables dansables*
aabdelnss salbandes salbandes
aabdelnty deblayant déblayant
aabdelopt adoptable adoptable
aabdelors adorables adorables
aabdelrsu baladeurs baladeurs
aabdemnrt embardant embardant(12)
aabdemrrs rambardes rambardes
aabdennno abandonne abandonné
aabdennot abondante abondante
aabdennst bandantes bandantes*
aabdenrrt debarrant débarrant
aabdenrst debrasant débrasant
aabdenrty debrayant débrayant
aabdenttt debattant débattant
aabderrss bardasser bardasser(15)
aabdersss bardasses bardassés(15)
aabdfilrs faiblards faiblards
aabdflmrs flambards flambards
aabdgnosv vagabonds vagabonds
aabdhllns handballs hand-balls*
aabdhllns handballs handballs
aabdiisux absidiaux absidiaux
aabdijnor jaborandi jaborandi
aabdillrr braillard braillard
aabdilmno abdominal abdominal
aabdilnqu baldaquin baldaquin
aabdinqtu abdiquant abdiquant
aabdiorsu abasourdi abasourdi
aabdirrst bidartars bidartars°(01)
aabdjnort jobardant jobardant*
aabdjnszz jazzbands jazz-bands
aabdkorsu darboukas darboukas
aabdlmnsu labdanums labdanums
aabdlorrs labradors labradors
aabdnnost abondants abondants
aabdnorst adsorbant adsorbant
aabdnorst sabordant sabordant
aabdnortu baroudant baroudant(12)
aabdnortu radoubant radoubant
aabdrrsss brassards brassards
aabeefflu affabulee affabulée*
aabeeflrs balafrees balafrées
aabeeftuu bateaufeu bateau-feu
aabeegirs gabariees gabariées*
aabeegllm emballage emballage
aabeeglls egalables égalables
aabeegllt bagatelle bagatelle
aabeeglmn mangeable mangeable
aabeeglmv emblavage emblavage
aabeeglrs agreables agréables
aabeeglst batelages batelages
aabeegmry embrayage embrayage
aabeegmst embatages embatages*#
aabeegmtt embattage embattage(00)
aabeegnrt abregeant abrégeant
aabeegnty begayante bégayante
aabeegrrs bagarrees bagarrées
aabeegruv ebavurage ébavurage
aabeehlpt alphabete alphabète(08)
aabeehnsu haubanees haubanées
aabeeilln alienable aliénable
aabeeilnr balneaire balnéaire
aabeeilns banalisee banalisée
aabeeilnu baleineau baleineau
aabeeinnr bananiere bananière
aabeeinor anaerobie anaérobie
aabeeinrs bearnaise béarnaise
aabeeinrt baratinee baratinée
aabeeirrt baraterie baraterie
aabeeirss arabisees arabisées
aabeeirss rabaissee rabaissée
aabeeirtt tabatiere tabatière
aabeeisss abaissees abaissées
aabeelllm malleable malléable
aabeellpr pareballe pare-balle*(09)
aabeellpr prealable préalable
aabeellrt alterable altérable
aabeellst ballastee ballastée
aabeelluv evaluable évaluable
