EOYSENMGUL (8) | eugénols, lysogène, ongulées (adj)
EEPSURCDIA (10)| superacide (décapeurs(euse),eucarides,peauciers(nm),pédicures,peracides)
ERBMTDIUPE (9) | impuberté (débiteur (euse,trice), impubère, impureté)
IONTPEAICP (9) | anticopie (anticipé, appointé (vt), opticien)
NPELEHENIR (9) | néphéline (népérien, pèlerine, plénière)
OEMSEURRET (9) | outre-mers,outremers,uromètres (météores,métreurs(euse),meurtres,terreuse,uretères)
AUNOCAEXAI (7) | acineux, caouane (caouanne), onciaux
OLEAAOPSML (8) | allosome, paléosol (paë(e)llas,pome(é)los,slalomé(vi))
IIULADNTEC (9) | élucidant,indélicat,nautilidé (citadine,inactuel,lucidité,naticidé)
CIAETSIPOM (9) | iotacisme (acomptes,étampois,impactés,opacités,optimisé,tampicos)
USECUNERIF (8) | curieuse, furieuse, rinceuse(eur), ruineuse, sinécure
IMOPENUTED (9) | impudente, indomptée (adj) (dépointé(vt), pédiment, piedmont)
CUSACUROTI (8) | accourus, scout-car(s) (accorts, autours, sautoir, surcoût)
ISOSOLUXOS (8) | loossois (sous-sol(s) + sous-soler (vt))
IAPEXUNESU (8) | anxieuse, nauséeux, punaisée, unisexué (adj)
INONIPERAH (8) | harponné, pionnier
EJISIDOTAN (9) | adjointes, disjointe, idéations
RHEESFIOEC (8) | héroïsée (vt), sécherie
AREUOAUNRQ (9) | arnaqueur (arnaquer) ((ouraque, rauquer (vi)))
UHPREEUMNA (8) | hénaurme (enrhumé, paumure, phanère, pruneau)
INISOCETIN (9) | nicotines (consenti, stoïcien, incision)
SEDATABYNE (8) | asyndète
POSETISOCU (9) | stocopies (copistes, côtoises, isotopes)
SOLOKECITI (8) | lockiste
SOMOSISOGA (6) | imagos, sigmas
EMEFYTEGAR (8) | frégatée (vt), métayère
GOLIPAMUNY (9) | pygmalion (x)
OMAMERIROD (9) | mirodrome (x)
EINARICORE (9) | cinéraire,ronceraie (cornière(ier),crânerie,crinière,racornie,roncière(ier),rôneraie)
LISURUDYHA (6) | ahuris,durals(al(e),aux),hardis,liards,radius(inv),huards,shudra
COLEHACILE (9) | écholalie (achillée (nf))
EISONEGUQE (9) | génésique (engouées(vt),géniques,gnosique,neigeuse)
ATASOTIGER (9) | argotiste(aérostat,griottes,agitatos,agriotes,titrages,aortites,gastrite)
ERUFUSILEC (9) | cerfeuils, écureuils, féculiers (-ière)
NMATESINEM (10)| immanentes, maniements (inentamés (adj))
MNAZUCEMOL (9) | communale (calzone,canezou,commune,mamelon,monceau,nuoc-mam(inv))
CAKARANATO (7) | nacarat (anorak, carton, ocrant (vt), torana)
ASIDALIGEC (9) | acidalies, algicides (diaclase)
TANALENICI (9) | cantalien, cantilien
OOZIQUNERA (7) | azoïque, ozoneur (nm)
ADCIRSOABE (9) | carabidés (aérobics,ascaride,bocardés(vt),caraïbes,croisade,isocarde, sarcoïde)
PDEITCLIOE (9) | idiolecte (docilité, plocéidé (nm))
DOLELEBANA (9) | belladone (bondelle)
TENERYLUSI (9) | lunetiers
GNEGERUTAL (9) | égrugeant(vt),reléguant (engluage,étranglé,granulée(vt),grugeant,négateur,regelant,régulant)
IPRUEBSELE (9) | pleurésie
NUARAONCCE (8) | caouanne (ou -ane), cancaner (vi)
ADROTBEAFU (8) | afrobeat, autodafé, beaufort
QEEIACFURU (8) | aquifère, érucique (aréique, aurique, ...)
YIAPRESDIL (9) | déplaisir, présidial(e,aux), pyralidés (dialyser, pilaires)
OGIPSARERI (9) | progérias (argiopes, poiriers, pragoise, prairies, priorisé(vt))
VINAZIGONE (8) | invaginé (vt) (angevin°, gazonné(vt), néonazi(e), zigonné(vi))
OIJINCETBR (9) | bijection (briotine°, ci-jointe)
RESAPASOTE (9) | apoastres, protéases, rapetassé(-tisser, vt) (apostées(vt), estropes, potasser/ée, protases, satrapes, trépassé(vt))
ITISURALES (10)| ritualisés (vt) (listérias)
EEODSRIIBR (9) | bordières(ier), broderies, dérisoire
NEYIMXESTE (9) | yéménites (émétines)
PCRIIRUTAS (7) | prurits
TGCURSAADS (8) | castards, graduats (cadrats, castars, csardas(ou czardas,inv), daturas, sagards(nm), tacauds, tarauds)
PETSOUSIRU (10)| poursuites
SARVARCACE (7) | cascara, cracras
ONALESARIN (10)| non-salarié
NIMERELIDO (9) | limonière(ier)
UNENIRATUL (9) | laurentin° (triennal)
LBTEMDUEDA (8) | déambulé (vi) (embatue (ou -attu, vt), mutable)
OCIDOHEMAT (9) | dichotome (x) ((cathode, dictame))
INONUSOLAX (8) | laonnois°, lunaison, nouaison
ENIMARUDAC (9) | cardamine, maurandie(ou -dia) (amandier(nm), arcadien, Cinérama, marinade, minauder(vi), radiance)
GICUSEBUCE (7) | bésigue, succube
NIDESIREVE (9) | désenivré (vt), dévernies (vt), renvidées (vt)
UALMENPSSA (9) | plan-masse (inv) (lampassé (adj))
TMARETESAT (9) | métatarse (attester, ramettes, stéarate, trématés (vt))
OVERESIVIR (9) | vivrières (adj) (rivières, voieries (ou voirie))
ODAGASUREN (9) | gandouras (augerons, drageons, organeau, ouragans)
IGESOCATOR (8) | agriotes (nf), cairotes (nf), escargot, gracioso (inv)
ECATELOGEB (8) | bel-étage (inv)
ITEGEVONUU (8) | guitoune (envoûté, gunitée(vt), vigneté(vi))
ARUYCRUCIV (6) | ric-rac(inv) (accru, carry, curry, carvi, cauri, ravir, yucca)
SEWELASOCL (9) | coleslaws (coleslaw)
SONETUZOFI (9) | festou-noz (x)
TITIPUPETO (7) | pituite
IMOSACISNN (8) | mansions, mocassin, scansion
SEALTOAOCR (9) | Escalator (acérolas, coaltars, crotales(nm), scrotale)
SIRCRASIOE (9) | corsaires, oscariser
EISAUVONAE (9) | évanouies, inavouées
UMRLOASUHU (7) | humoral(e,aux), humours, marlous, morulas
LRLASETAAE (9) | latérales (tralalas)
EUEUDNRTAR (9) | dénaturer, rudenture (renauder(vi), truander/ée)
DROENSTPIT (8) | détroits, dioptres, endroits, nordiste, pendoirs, protides, strident, tripodes, tripotés
EAHOALMCER (9) | maréchale (caramélé (adj))
NROGEMMIAO (10)| ionogramme (agronomie, monogamie) ((agronome, monogame, monorime))
OITOICRSAR (8) | traçoirs (corrois, octrois, sororat, tiroirs)
ERORAAKEMT (8) | kératome, markéter (vt)
UIEEPLQASG (10)| pélagiques (équipages, gaéliques)
EUVNTPRUSR (8) | ruptures (stupeur, survenu, suturer, turneps, usurper, ventrus)
CLERIIAUNR (9) | culinaire (ricaneur(euse), urinaire)
TYLRUUIELC (8) | culturel, utricule
BTAUNESRRT (9) | brunâtres, rebutants (e)
VIIAESDOMR (8) | avodirés(nm), évidoirs, madérois, vidamies, viroïdes
CLAPSSUOOE (9) | spéculoos(inv) (ou spéculos)
GNOIREIRAP (8) | grainier(ière), originer(vt), peignoir, progéria
GMORRAPAAC (7) | Camorra (carrom)
ASDIREUOSI (9) | assourdie, drouaises (ardoisés(adj), airoises°, audoises°, douaires, ossuaire, soudiers(ière))
BSELUQOIOM (8) | obliques, boulisme
LLOGLIAALP (6) | laogai, plagal(e,aux)
ALASUMOSES (8) | maousses, molasses(ou mollasse), samoussa (ou samosa)
ANISOSETEH (9) | asthénies
MENARICERO (10)| romancière (ronceraie)
RIGURAVEME (8) | aguerrie(vt), gravière, maigreur, maugréer(vt)
ATINUXIGON (7) | oignant (oindre : vt)
RIREVECESU (9) | éviscérer, receveurs(euse), récursive
ILERERUFIM (8) | muflerie, refleuri(vt)
LIMIBAIKVU (6) | kalium, labium (album, alibi, avili(vt), kilim, lambi)
EMOCLGBIIO (8) | biologie, coobligé(adj), bogomile (colombe, ombilic)
EIEOFEAINE (6) | fainée(nf) (faine, ...)
EIMUSAESUL (10)| miauleuses(eur) (x)
CESMMAYUUD (7) | muscade
OTSUEDMEAO (8) | autosome
REEIFTSXDO (8) | détersif(ive), dextrose, fiérotes, frisotée(vt), stéroïde
EULIAMURHT (9) | tumulaire (miauleur)
OSORUSRMAE (8) | morsures, surarmés(vt)
EARSCUASGX (8) | assurage, casseaux, crasseux, saurages, sucrages
RIOORSDTRO (8) | dortoirs, tordoirs (rodoirs, stridor)
PNAVORETEH (10)| névropathe ((opérante(n), panthère, tréphone)
DABANEROPI (9) | paranoïde (parodien°, piano-bar (pl : pianos-bars))
RPAIENENRA (9) | parrainée (x)
OEOABFLIDC (8) | bifocale(al,aux), colobidé (diabolo, foliacé (adj))
EAELXOAGIU (8) | élogieux (galaxie)
CEOPSEHMAE (9) | empochées
IZMEESTVAA (8) | atavisme (amaties (vt + amathie : nf), tamisée(vt))
IECOTJQLLM (7) | mélilot (colite,collet,comité,mijoté(vt),millet,mollet,mollie(vt),mot-clé(s,s+f))
OOSSKNVEEO (6) | novées(vt), noèses
EORENIOTCP (9) | réception, ectropion (protéiné(adj), ricétone°, pécorino, inotrope, épointer(vt))
AIOUCIRLNN (7) | clairon, cul-noir (s,s), linçoir, niaouli
MSEEDANUAB (8) | umbandas
FRLELEUENQ (9) | fullerène (enfleuré (vt), quenelle, querellé)
TESAGURIPA (9) | piratages, pâturages, tapageurs (euse)
DULOTOFOHA (6) | foutah,ouolof (dalot,dotal(e,aux),doula,flood(nm),falot(e),fouta,futal(s,futsal),loofa)
FIRWVEIUUE (7) | vérifié (fièvre, réifié (vt))
CNOIRSIRVA (8) | racornis
EPARACETAP (9) | carapatée (vt) (x)
NEMEDALETO (9) | démantelé, démêlante(adj)
LIPONUCUFI (7) | cipolin (nm) (poncif (nm))
SSRYINUDNE (8) | dysuries (désunir/is,dineurs(euse),diurnes,indurés(vt),résidus)
HXNSVIUEAI (8) | niaiseux (auxines,ensuivi(vt),envahis,haineux,niveaux,sanieux(euse),uniaxes)
MTOMORSEDE (9) | mérostome, odomètres(trie), osmomètre (odomètre)
UPGXOUIITR (7) | guipoir, tripoux (pl seulement, ou tripous) (ripoux)
VUESMUMIGA (9) | guimauves (guimauve) ((x))
ARESECOCIT (9) | circaètes, coécrites, scoriacée (adj)
EBEDIHUREV (8) | beuverie (dérivée, évidure, hébreue (-eux,eues))
VORUNOSIZA (9) | ouvraison (oraison, avirons, zournas)
ETUPUSAGOL (9) | poulagues (loupages, tue-loups (tue-loup))
LCRKSEHOUI (9) | choluries (x)
MENOSELESA (9) | mélanoses (x)
OGETNSBCAA (9) | cabotages,canotages (aconages,bacantes(bacchante),cabestan,castagné(vt),catogans,contages,sabotage)
TTUVOPSROI (8) | poivrots,pourvois,pouvoirs (pour-soi(inv),risotto,tripots,tripous(inv,ou tripoux))
EPESETOWEN (7) | épontes, népètes, pentose, pontées (vt), sténopé (nm)
TIPAMUGACE (8) | patagium (camaïeu(s,x), captage, impacté, pataugé(vi))
AQADEBIRUV (8) | abdiquer, arabique, vaudaire
IUOEBTAPRA (8) | aboiteau, bipoutre, bouriate(nf), tubipore
